,song
0,  Baharon Phool Barsao - Suraj
1,  Awaara Hoon - Awaara
2,  Tujhe Dekha To - Dilwale Dulhania Le Jayenge
3,  Ajeeb Dastan Hai Yeh - Dil Apna Aur Preet Parai
4,  Kabhi Kabhi Mere Dil Mein - Kabhi Kabhie
5,  Tere Liye - Veer-Zaara
6,  Yeh Dosti - Sholay
7,  Pyar Kiya To Darna Kya - Mughal-e-Azam
8,  Chaiyya Chaiyya - Dil Se..
9,  Chalte Chalte - Pakeezah
10,  Kal Ho Naa Ho - Kal Ho Naa Ho
11,  Aaj Phir Jeene Ki Tamanna - Guide
12,  Kuch Kuch Hota Hai - Kuch Kuch Hota Hai
13,  Mauja Hi Mauja - Jab We Met
14,  Ae Mere Humsafar - Qayamat Se Qayamat Tak
15,  Chaudhvin Ka Chand Ho - Chaudhvin Ka Chand
16,  Aaja Sanam - Chori Chori
17,  Pehla Nasha - Jo Jeeta Wohi Sikandar
18,  Dheere Dheere Se - Aashiqui
19,  Chura Liya Hai Tumne Jo Dil Ko - Yaadon Ki Baaraat
20,  Maa - Taare Zameen Par
21,  In Ankhon Ki Masti - Umrao Jaan
22,  Saathi Re - Muqaddar Ka Sikandar
23,  Pyar Hua Iqrar Hua - Shree 420
24,  Munni Badnaam - Dabangg
25,  Yeh Zindagi Usiki Hai - Anarkali
26,  Bole Chudiyan - Kabhi Khushi Kabhie Gham
27,  Kehna Hi Kya - Bombay
28,  Chand Sifarish - Fanaa
29,  Dil Deewana - Maine Pyar Kiya
30,  Ek Ladki Ko Dekha To - 1942
31,  Mere Dil Ke Chain - Mere Jeevan Saathi
32,  Tere Bina - Guru
33,  Tumhi Mere Mandir - Khandan
34,  Dekha Ek Khwab - Silsila
35,  Kate Nahin Kat Te - Mr India
36,  Aaja Tujhko Pukare Mera Pyar - Neel Kamal
37,  Jane Woh Kaise Log The - Pyaasa
38,  Yeh Zindagi Ke Mele - Mela
39,  Yeh Galiyan Yeh Chaubara - Prem Rog
40,  Aap Jaisa Koi - Qurbani
41,  Dum Maro Dum - Hare Rama Hare Krishna
42,  Yeh Sama Sama Hai Ye Pyar Ka - Jab Jab Phool Khile
43,  Khoya Khoya Chand - Kala Bazar
44,  Ayega Aanewala - Mahal
45,  Deewangi Deewangi - Om Shanti Om
46,  Didi Tera Devar Deewana - Hum Aapke Hain Koun
47,  O Re Chori - Lagaan
48,  Aaja Re Pardesi - Madhumati
49,  Choli Ke Peeche - Khalnayak
50,  Roop Tera Mastana - Aradhana
51,  Ude Jab Jab Zulfein Teri - Naya Daur
52,  Maar Dala - Devdas
53,  Tu Ganga Ki Mauj - Baiju Bawra
54,  Tu Mera Jaanu Hai - Hero
55,  Yahoo Chahe Koi Mujhe Junglee Kahen - Junglee
56,  Dekha Hai Pehli Baar - Saajan
57,  Guzarish - Ghajini
58,  Kya Khoob Lagti Ho - Dharmatma
59,  O Haseena Zulfo Wali - Teesri Manzil
60,  Pardesi Pardesi - Raja Hindustani
61,  Tip Tip Barsa Paani - Mohra
62,  Bahon Ke Darmiyan - Khamoshi
63,  Jaadu Teri Nazar - Darr
64,  Afsana Likh Rahi Hoon - Dard
65,  Yeh Mera Dil Yaar Ka Diwana - Don
66,  Beedi - Omkara
67,  Babuji Dheere Chalna - Aar Paar
68,  Mujhe Neend Na Aaye - Dil
69,  Main Na Bhoolunga - Roti Kapada Aur Makaan
70,  Mere Naseeb Mein - Naseeb
71,  Yeh Hai Bombay Meri Jaan - C.I.D
72,  Hum Tum Ek Kamre Mein Band Ho - Bobby
73,  Kajra Re - Bunty Aur Babli
74,  Jumma Chumma De De - Hum
75,  Chod Do Anchal Zamana Kya Kahega - Paying Guest
76,  Dhak Dhak Karne Laga - Beta
77,  Ek Do Teen - Tezaab
78,  Hum Bane Tum Bane - Ek Duje Ke Liye
79,  O Meri Mehbooba - Dharam Veer
80,  Sun Sahiba Sun - Ram Teri Ganga Maili
81,  Tera Mera Pyar Amar - Asli Naqli
82,  Man Dole Mera Tan Dole - Nagin
83,  Sun Ja Dil Ki Dastan - Jaal
84,  Awaaz De Kahan Hai - Anmol Ghadi
85,  Humko Tumse Ho Gaya Hai Pyar - Amar Akbar Anthony
86,  Mera Naam Chin Chin Chu - Howrah Bridge
87,  Om Shaanti Om - Karz
88,  Piya Tu Ab To Aaja - Caravan 
89,  Honton Mein Aisi Baat - Jewel Thief
90,  Taarif Karoon Kya Uski - Kashmir Ki Kali
91,  Eena Meena Deeka - Aasha
92,  Jai Jai Shiv Shankar - Aap Ki Kasam
93,  Bol Radha Bol - Sangam
94,  Hawa Mein Udta Jaaye - Barsaat
95,  Dum Dum Diga Diga - Chhalia
96,  Raja Ki Aayegi Baraat - Aah
97,  Tod Diya Dil Mera Tune - Andaz 
98,  Ankhiyan Milake - Rattan
99,  Jawani Janeman - Namak Halaal
